object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of random class 1,Probability of random class 2,Radii of the object_0,Radii of the object_1,Radii of the object_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Center of the object_0,Center of the object_1,Center of the object_2
69,0,70,0,random class 1,0.78,0.22,3.0723276,1.7396924,1.1839292,0.97162735,0.023568416,0.23533982,0.19455986,0.4861395,-0.85194767,0.13448705,-0.87356335,-0.46776095,269.0,20.0,58.0,23.0,33.0,64.0,30.0,25.39777,60.881042,26.873606
70,0,71,0,random class 1,0.61,0.39,1.9505042,1.5340676,1.2253814,-0.22984599,-0.8352207,-0.49957705,-0.60061747,-0.28217477,0.74808824,0.7657868,-0.4719998,0.43679142,158.0,80.0,58.0,23.0,86.0,64.0,30.0,82.8481,60.66456,26.70886
71,0,72,0,random class 2,0.49,0.51,5.1704264,2.0429642,1.3159125,0.74560267,-0.6446525,-0.168819,-0.6637056,-0.69565475,-0.2748806,0.059762716,0.3169978,-0.9465415,427.0,60.0,59.0,23.0,77.0,73.0,30.0,67.8103,66.2178,27.31616
72,0,73,0,random class 2,0.4,0.6,2.512665,1.8517774,1.2835776,-0.9423425,-0.16364937,0.2919066,0.32489812,-0.6564322,0.6808362,0.08019848,0.7364208,0.67175335,239.0,77.0,67.0,23.0,87.0,75.0,30.0,81.59833,70.794975,27.025105
73,0,74,0,random class 1,0.6,0.4,2.4031668,1.6900536,1.486492,-0.25820053,-0.9252696,0.2778644,-0.91982156,0.14750277,-0.36355358,0.2953993,-0.34945542,-0.88916826,261.0,136.0,70.0,23.0,144.0,80.0,30.0,139.50192,75.030655,26.819923
74,0,75,0,random class 1,0.5,0.5,2.4465222,2.0617688,1.28711,0.02441231,0.9990753,-0.035391234,0.95604044,-0.012983393,0.29294735,-0.29221696,0.040986974,0.95547336,261.0,109.0,42.0,24.0,119.0,52.0,30.0,113.98084,47.517242,27.333334
75,0,76,0,random class 1,0.51,0.49,1.9868525,1.5405849,1.1724343,-0.1823982,0.98255175,0.036372982,0.96348333,0.17123775,0.20585808,-0.19603778,-0.0725929,0.97790563,153.0,121.0,47.0,25.0,129.0,55.0,30.0,124.64706,50.843136,27.61438
76,0,77,0,random class 1,0.61,0.39,1.3559942,0.9415667,0.4321249,0.06367075,0.10805493,-0.99210393,-0.9968681,0.053609956,-0.058137577,-0.046904594,-0.9926984,-0.1111299,25.0,148.0,31.0,26.0,150.0,37.0,30.0,148.72,33.64,28.0
77,0,78,0,random class 1,0.59,0.41,2.5240116,1.3910298,0.98613,-0.99672836,0.07990798,-0.012135275,0.08032146,0.9625798,-0.25882152,-0.009000735,-0.2589495,-0.9658489,149.0,44.0,66.0,26.0,55.0,72.0,30.0,49.328857,68.456375,27.872482
78,0,79,0,random class 2,0.42,0.58,1.7865711,1.3199731,0.82138747,-0.90450275,-0.42228654,0.05957205,0.42607653,-0.90079504,0.083827436,0.018263007,0.1012044,0.994698,86.0,18.0,67.0,26.0,26.0,73.0,30.0,21.5,69.360466,28.151163
